CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
BUBBLE,1074.832520,30,893,0,5.38
BUBBLE,1177.177124,30,693,0,4.48
BUBBLE,1007.790710,30,698,0,3.41
BUBBLE,1214.108276,30,895,0,5.64
BUBBLE,819.181030,30,687,0,5.12
BUBBLE,485.506744,30,679,0,4.48
BUBBLE,1219.266479,30,774,0,4.35
BUBBLE,1467.626221,30,764,0,3.85
BUBBLE,1268.052979,30,1102,0,4.79
BUBBLE,767.957397,30,1008,0,4.50
BUBBLE,1021.264832,30,688,0,4.46
BUBBLE,675.009094,30,693,0,4.55
BUBBLE,1077.180542,30,668,0,4.64
BUBBLE,1424.515503,30,1137,0,4.78
BUBBLE,1301.339844,30,923,0,5.81
