CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,982.256592,50,542,0,4.83
AREA,1021.242126,50,582,0,3.48
AREA,950.135437,50,575,0,4.21
AREA,1018.490784,50,670,0,3.14
AREA,1015.230347,50,568,0,3.11
AREA,929.969543,50,885,0,4.43
AREA,946.870911,50,539,0,4.09
AREA,1001.706238,50,683,0,4.48
AREA,1025.022827,50,661,0,4.32
AREA,1037.586182,50,608,0,2.92
AREA,984.881165,50,684,0,3.82
AREA,979.457458,50,603,0,2.16
AREA,1056.102295,50,933,0,4.31
AREA,950.443481,50,591,0,5.21
AREA,975.798828,50,762,0,4.73
