CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,1029.445190,30,754,0,5.21
AREA,1240.166748,30,736,0,3.54
AREA,1317.608398,30,583,0,4.63
AREA,1272.094238,30,765,0,5.78
AREA,982.162964,30,771,0,6.18
AREA,744.950928,30,652,0,5.00
AREA,1199.538330,30,789,0,5.87
AREA,959.783081,30,675,0,5.15
AREA,787.206299,30,632,0,4.57
AREA,1064.530762,30,737,0,4.12
AREA,852.806335,30,601,0,5.14
AREA,917.213867,30,872,0,5.85
AREA,899.248901,30,611,0,4.49
AREA,990.296021,30,640,0,5.01
AREA,632.860657,30,601,0,5.08
