CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,874.065308,10,712,0,4.09
STANDARD,1050.313721,10,1122,1,7.10
STANDARD,1436.151367,10,1108,0,7.82
STANDARD,1211.035400,10,1601,0,7.79
STANDARD,792.362732,10,1763,1,7.67
STANDARD,629.331238,10,787,0,7.00
STANDARD,1130.515869,10,798,0,6.43
STANDARD,1264.042969,10,938,0,6.57
STANDARD,829.780151,10,1157,0,7.51
STANDARD,863.308289,10,1015,0,6.35
STANDARD,934.092773,10,1141,0,6.52
STANDARD,837.515747,10,1207,1,6.37
STANDARD,904.697876,10,1005,0,7.14
STANDARD,1163.064697,10,1254,0,6.85
STANDARD,1456.117554,10,1123,0,7.00
