CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
BUBBLE,964.437073,10,658,0,4.38
BUBBLE,958.988464,10,1287,0,7.79
BUBBLE,1081.764282,10,1581,0,7.86
BUBBLE,1037.911987,10,1995,0,7.24
BUBBLE,1018.967224,10,889,0,6.53
BUBBLE,992.348022,10,816,0,6.92
BUBBLE,929.253235,10,809,0,6.48
BUBBLE,1013.740112,10,787,0,6.68
BUBBLE,1035.361328,10,1190,0,7.22
BUBBLE,1004.100769,10,695,0,7.56
BUBBLE,1060.862183,10,926,0,6.40
BUBBLE,974.361084,10,1051,0,7.64
BUBBLE,1045.434570,10,1934,0,7.27
BUBBLE,982.083313,10,1015,0,6.20
BUBBLE,1068.339722,10,1155,0,7.14
