CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,1032.316895,50,753,0,4.94
STANDARD,1021.507935,50,1035,0,5.37
STANDARD,996.505798,50,869,0,5.05
STANDARD,1039.850586,50,719,0,4.38
STANDARD,1068.776001,50,685,0,4.52
STANDARD,1033.274414,50,791,0,4.67
STANDARD,1036.876709,50,1072,1,4.24
STANDARD,1029.605103,50,670,0,4.34
STANDARD,1045.494019,50,704,0,2.49
STANDARD,1044.814575,50,689,0,3.25
STANDARD,1035.373901,50,774,0,4.37
STANDARD,1017.540344,50,1138,1,4.59
STANDARD,989.005676,50,554,0,2.72
STANDARD,1036.946289,50,805,0,3.75
STANDARD,1015.176636,50,872,0,4.60
