CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,996.656860,50,710,0,4.83
STANDARD,1036.508179,50,534,0,2.06
STANDARD,1034.209839,50,539,0,2.58
STANDARD,1038.254395,50,652,0,3.81
STANDARD,994.272095,50,634,0,4.15
STANDARD,1031.613892,50,820,0,5.47
STANDARD,1018.661804,50,671,0,4.65
STANDARD,1030.508301,50,557,0,3.55
STANDARD,1048.592896,50,586,0,4.35
STANDARD,1022.669495,50,738,0,4.85
STANDARD,966.145081,50,754,0,5.14
STANDARD,1031.626465,50,585,0,2.49
STANDARD,1009.499084,50,671,0,3.87
STANDARD,1051.961914,50,734,0,4.27
STANDARD,998.753601,50,795,0,4.53
