CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,658.129150,10,968,0,3.88
STANDARD,771.345764,10,1584,0,6.98
STANDARD,699.538696,10,2868,2,6.89
STANDARD,686.179077,10,2032,0,6.45
STANDARD,683.224731,10,934,0,2.93
STANDARD,716.595337,10,1151,0,6.13
STANDARD,739.755798,10,1284,0,5.71
STANDARD,726.526001,10,1167,0,4.93
STANDARD,650.863586,10,751,0,4.01
STANDARD,663.640320,10,1260,0,4.59
STANDARD,687.020508,10,1868,1,5.65
STANDARD,699.255981,10,1252,0,5.03
STANDARD,700.909607,10,1000,0,6.31
STANDARD,694.493347,10,1434,0,6.10
STANDARD,652.161987,10,717,0,3.07
