CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,618.371155,30,717,0,2.51
STANDARD,709.744202,30,768,0,2.25
STANDARD,593.415527,30,818,0,4.80
STANDARD,649.935913,30,1584,1,3.84
STANDARD,689.227356,30,1135,0,4.38
STANDARD,652.356445,30,929,0,3.30
STANDARD,787.843384,30,834,0,3.91
STANDARD,748.880798,30,783,0,3.42
STANDARD,694.430359,30,1167,0,5.17
STANDARD,646.780945,30,701,0,1.65
STANDARD,681.681335,30,867,0,4.75
STANDARD,730.173157,30,1467,0,4.91
STANDARD,807.543274,30,919,0,4.63
STANDARD,662.096008,30,933,0,4.44
STANDARD,727.046997,30,1200,0,4.31
