CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
BUBBLE,720.355286,30,1386,0,4.73
BUBBLE,743.236755,30,1334,0,4.72
BUBBLE,697.513550,30,967,0,4.37
BUBBLE,707.388550,30,884,0,4.56
BUBBLE,743.067871,30,1100,0,5.21
BUBBLE,619.082275,30,668,0,3.99
BUBBLE,671.802368,30,1039,0,4.96
BUBBLE,721.635071,30,817,0,4.75
BUBBLE,775.434814,30,1050,0,4.64
BUBBLE,744.055786,30,867,0,4.99
BUBBLE,657.259888,30,901,0,4.54
BUBBLE,649.643005,30,734,0,2.82
BUBBLE,665.977905,30,852,0,3.51
BUBBLE,763.737732,30,1001,0,4.87
BUBBLE,736.246155,30,834,0,4.40
