CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,544.071472,10,1080,0,5.35
AREA,760.115112,10,1220,0,7.00
AREA,650.317871,10,899,0,6.25
AREA,587.911499,10,966,0,6.52
AREA,706.487183,10,783,0,3.33
AREA,938.747192,10,1202,0,5.92
AREA,640.625000,10,899,0,6.89
AREA,553.777222,10,949,0,5.56
AREA,850.404175,10,774,0,5.32
AREA,703.430359,10,984,0,6.89
AREA,799.473511,10,936,0,5.36
AREA,737.540894,10,950,0,6.04
AREA,896.941772,10,967,0,6.49
AREA,821.573364,10,734,0,6.54
AREA,580.119446,10,835,0,5.74
