CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,733.198425,50,836,0,3.13
STANDARD,704.169922,50,786,0,3.57
STANDARD,718.153381,50,820,0,2.51
STANDARD,685.111633,50,852,0,3.38
STANDARD,696.153748,50,821,0,3.90
STANDARD,692.121765,50,1054,0,4.28
STANDARD,709.934204,50,921,0,4.01
STANDARD,699.441528,50,702,0,1.83
STANDARD,692.667908,50,1337,1,4.43
STANDARD,695.367737,50,1036,0,3.81
STANDARD,716.992310,50,969,0,3.29
STANDARD,721.972290,50,970,0,4.51
STANDARD,699.477844,50,1019,0,3.85
STANDARD,732.280151,50,1103,0,4.28
STANDARD,733.976990,50,970,0,3.98
