CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,666.759766,10,1201,0,6.62
STANDARD,621.851257,10,1417,0,5.85
STANDARD,769.805115,10,1151,0,6.04
STANDARD,718.856384,10,2667,3,5.92
STANDARD,677.908997,10,967,0,4.57
STANDARD,656.325134,10,1183,0,6.78
STANDARD,650.171570,10,784,0,3.44
STANDARD,698.877014,10,2568,2,6.81
STANDARD,732.371643,10,1256,0,6.43
STANDARD,650.872498,10,1051,0,6.01
STANDARD,692.477783,10,1168,0,5.93
STANDARD,726.623413,10,1083,0,6.44
STANDARD,606.058289,10,1098,0,5.44
STANDARD,715.987610,10,970,0,5.45
STANDARD,770.410400,10,1569,0,6.57
