CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,693.915466,10,1050,0,4.57
STANDARD,659.867737,10,1367,0,7.18
STANDARD,702.096191,10,1408,0,7.17
STANDARD,733.103821,10,1350,0,6.97
STANDARD,695.619446,10,1199,0,6.47
STANDARD,719.264038,10,1234,0,6.93
STANDARD,839.836487,10,933,0,4.83
STANDARD,723.867615,10,1851,1,6.37
STANDARD,711.991638,10,919,0,4.78
STANDARD,685.912781,10,1152,0,5.41
STANDARD,707.660767,10,1317,0,6.60
STANDARD,666.215942,10,1201,0,6.75
STANDARD,646.667847,10,2250,1,4.82
STANDARD,671.307861,10,1283,0,6.42
STANDARD,589.424133,10,1032,0,5.58
