CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,685.602661,30,1352,0,4.16
STANDARD,703.259399,30,1334,0,3.49
STANDARD,687.646973,30,1452,0,5.12
STANDARD,737.758484,30,1319,0,3.10
STANDARD,697.169250,30,1401,0,5.21
STANDARD,703.190063,30,2019,1,4.92
STANDARD,696.148621,30,1254,0,4.63
STANDARD,752.771545,30,1152,0,3.15
STANDARD,679.782288,30,1751,0,5.04
STANDARD,693.285583,30,1252,0,5.16
STANDARD,665.599854,30,1053,0,3.26
STANDARD,696.955933,30,1285,0,4.75
STANDARD,714.788513,30,1301,0,3.95
STANDARD,656.961731,30,1503,0,4.06
STANDARD,697.415955,30,1552,0,4.37
