CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,693.738220,30,1419,0,4.86
AREA,683.392578,30,1120,0,2.54
AREA,674.887817,30,1235,0,4.78
AREA,704.264099,30,1518,0,4.04
AREA,694.551392,30,1685,1,5.57
AREA,654.042786,30,1252,0,5.46
AREA,660.668396,30,1184,0,4.86
AREA,706.035339,30,1085,0,4.64
AREA,709.407959,30,1201,0,4.50
AREA,655.956726,30,1468,0,4.87
AREA,700.787720,30,1219,0,2.97
AREA,676.092712,30,1235,0,4.86
AREA,697.942017,30,934,0,2.57
AREA,712.208496,30,1369,0,3.72
AREA,667.893616,30,1067,0,4.13
