CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,659.092041,10,1418,0,5.60
STANDARD,690.893677,10,1151,0,4.31
STANDARD,707.412354,10,1434,0,4.63
STANDARD,698.608276,10,1950,0,6.69
STANDARD,644.674500,10,1284,0,6.61
STANDARD,696.553772,10,3201,2,5.32
STANDARD,639.878479,10,1385,0,5.87
STANDARD,681.338074,10,1700,0,6.58
STANDARD,686.942139,10,1135,0,3.23
STANDARD,702.872192,10,1469,0,5.99
STANDARD,724.103577,10,2167,1,6.51
STANDARD,659.501770,10,1718,0,6.31
STANDARD,654.018677,10,1384,0,2.92
STANDARD,725.364502,10,1867,0,6.79
STANDARD,678.826050,10,1585,0,5.15
