CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,672.757935,30,1617,0,5.30
STANDARD,623.721741,30,1117,0,5.08
STANDARD,597.066528,30,1367,0,4.34
STANDARD,635.857361,30,1200,0,4.85
STANDARD,754.472473,30,1451,0,4.92
STANDARD,694.554626,30,1769,0,5.11
STANDARD,715.047302,30,1368,0,5.30
STANDARD,699.757813,30,1318,0,4.33
STANDARD,659.449463,30,2069,0,4.32
STANDARD,705.181824,30,1185,0,3.80
STANDARD,696.066650,30,1485,0,4.44
STANDARD,538.343140,30,1252,0,3.87
STANDARD,668.143677,30,2584,0,3.59
STANDARD,733.711060,30,1300,0,3.12
STANDARD,727.516724,30,1201,0,5.21
