CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
BUBBLE,741.733398,50,1017,0,1.40
BUBBLE,622.205688,50,1184,0,3.88
BUBBLE,717.259644,50,983,0,3.11
BUBBLE,825.318542,50,1702,0,3.49
BUBBLE,621.547058,50,1200,0,3.42
BUBBLE,757.682007,50,1484,0,3.53
BUBBLE,690.406128,50,1269,0,3.96
BUBBLE,837.894714,50,1102,0,3.85
BUBBLE,614.422791,50,1135,0,3.42
BUBBLE,756.188843,50,1468,0,4.45
BUBBLE,655.550964,50,1167,0,3.33
BUBBLE,637.402771,50,2401,0,4.25
BUBBLE,665.615540,50,1100,0,4.43
BUBBLE,734.866638,50,1501,0,4.28
BUBBLE,703.011108,50,1134,0,4.32
