CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,742.153442,10,800,0,6.52
AREA,653.660645,10,917,0,6.04
AREA,655.409546,10,885,0,5.78
AREA,693.938721,10,1317,0,4.90
AREA,677.366821,10,1376,0,6.34
AREA,594.302246,10,1301,0,5.42
AREA,770.793396,10,1451,0,6.47
AREA,702.345398,10,1033,0,6.20
AREA,579.736572,10,900,0,3.11
AREA,511.894867,10,1517,0,5.62
AREA,750.114929,10,951,0,6.49
AREA,670.420898,10,967,0,6.76
AREA,724.070435,10,1284,0,6.33
AREA,617.674438,10,901,0,5.90
AREA,664.787048,10,984,0,6.17
