CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,680.356750,50,784,0,4.33
AREA,648.080078,50,651,0,2.32
AREA,688.356262,50,735,0,3.58
AREA,689.418457,50,1702,0,4.54
AREA,566.126221,50,1517,0,4.42
AREA,664.356201,50,951,0,2.43
AREA,678.739807,50,1067,0,3.15
AREA,691.315918,50,1068,0,4.09
AREA,749.750732,50,1135,0,3.79
AREA,700.230591,50,1118,0,4.49
AREA,649.147156,50,1135,0,4.03
AREA,654.146118,50,934,0,2.77
AREA,615.010193,50,1185,0,4.50
AREA,728.756409,50,1352,0,2.15
AREA,744.263245,50,1201,0,4.77
