CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,673.762268,50,681,0,3.66
AREA,749.811035,50,634,0,3.69
AREA,738.290955,50,884,0,4.32
AREA,786.119568,50,966,0,4.66
AREA,724.731567,50,790,0,4.39
AREA,758.841614,50,734,0,4.55
AREA,737.550232,50,951,0,2.02
AREA,713.120178,50,837,0,3.40
AREA,769.773865,50,641,0,3.03
AREA,737.236511,50,835,0,3.96
AREA,766.487122,50,1019,0,5.19
AREA,764.181091,50,834,0,4.76
AREA,685.881897,50,717,0,4.14
AREA,758.027405,50,800,0,3.63
AREA,692.253296,50,1565,0,3.74
