CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,555.760864,30,1584,1,4.33
STANDARD,874.154175,30,1035,0,2.63
STANDARD,897.543823,30,1399,0,5.31
STANDARD,545.141968,30,1504,1,5.15
STANDARD,772.972900,30,1090,0,4.71
STANDARD,952.319702,30,1266,0,5.17
STANDARD,622.516968,30,848,0,5.46
STANDARD,465.119446,30,851,0,4.25
STANDARD,807.953979,30,1116,0,4.55
STANDARD,446.716492,30,1333,0,4.99
STANDARD,804.406250,30,1335,0,4.89
STANDARD,636.467468,30,1050,0,5.57
STANDARD,648.728882,30,1203,0,5.27
STANDARD,466.320648,30,1099,0,5.03
STANDARD,664.500000,30,915,0,3.91
