CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,743.652893,10,1599,1,6.86
STANDARD,742.670044,10,1500,0,7.10
STANDARD,676.680359,10,1200,0,6.23
STANDARD,827.340759,10,1583,0,7.02
STANDARD,651.686035,10,1070,0,6.39
STANDARD,669.693298,10,661,0,5.40
STANDARD,695.416565,10,1549,0,6.13
STANDARD,705.908569,10,1735,0,6.59
STANDARD,770.011597,10,1484,1,6.31
STANDARD,744.014648,10,968,0,6.39
STANDARD,781.087524,10,1684,1,6.54
STANDARD,691.905273,10,851,0,4.63
STANDARD,885.498901,10,2449,0,7.00
STANDARD,757.708313,10,1361,0,7.14
STANDARD,754.881897,10,1432,0,6.08
