CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,736.468262,50,721,0,2.22
AREA,768.866394,50,737,0,2.07
AREA,740.052795,50,837,0,4.23
AREA,794.064270,50,835,0,4.09
AREA,773.995178,50,838,0,2.42
AREA,770.759705,50,598,0,3.29
AREA,767.423096,50,618,0,3.18
AREA,782.424622,50,837,0,3.68
AREA,772.748352,50,790,0,3.79
AREA,778.786316,50,724,0,2.59
AREA,740.407837,50,791,0,3.81
AREA,773.348755,50,492,0,2.56
AREA,758.082153,50,520,0,3.28
AREA,748.457703,50,571,0,2.96
AREA,747.827759,50,688,0,2.79
