CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,761.451599,50,618,0,0.98
STANDARD,762.135681,50,1069,1,3.01
STANDARD,769.136475,50,1139,0,4.30
STANDARD,781.902039,50,1002,0,4.53
STANDARD,783.880615,50,1319,0,4.59
STANDARD,754.812805,50,955,0,3.16
STANDARD,756.590210,50,1016,0,3.75
STANDARD,771.782410,50,1169,0,4.51
STANDARD,766.711182,50,1155,0,3.39
STANDARD,759.515320,50,972,0,4.05
STANDARD,786.280640,50,1106,0,3.81
STANDARD,809.566223,50,1070,0,3.36
STANDARD,750.398560,50,871,0,3.63
STANDARD,764.427429,50,706,0,4.35
STANDARD,767.135437,50,824,0,4.00
