CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,977.970215,10,1084,0,6.85
AREA,945.499390,10,749,0,6.07
AREA,920.517456,10,835,0,6.21
AREA,637.805420,10,1015,0,4.81
AREA,807.851685,10,884,0,5.97
AREA,734.726440,10,748,0,4.37
AREA,893.446960,10,1099,0,5.86
AREA,533.920532,10,853,0,5.74
AREA,664.945251,10,1351,0,5.99
AREA,644.581726,10,1100,0,3.44
AREA,951.545288,10,800,0,6.09
AREA,860.430481,10,984,0,6.07
AREA,452.455017,10,933,0,6.61
AREA,738.921021,10,1137,0,6.97
AREA,725.807739,10,1018,1,6.86
