CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,777.402893,30,900,0,5.20
AREA,766.396729,30,797,0,4.85
AREA,674.452942,30,949,0,4.82
AREA,759.769043,30,1100,0,3.06
AREA,743.256470,30,968,0,5.85
AREA,755.372986,30,969,0,5.67
AREA,805.209351,30,1386,0,5.63
AREA,777.135254,30,1001,0,3.69
AREA,758.003540,30,1069,0,5.73
AREA,730.514038,30,618,0,4.40
AREA,774.821228,30,753,0,4.87
AREA,725.336121,30,1135,0,5.66
AREA,733.139648,30,820,0,4.73
AREA,745.309875,30,1567,0,4.91
AREA,717.127075,30,2085,0,4.43
