CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
BUBBLE,701.866089,10,934,0,6.11
BUBBLE,782.691895,10,1151,0,5.25
BUBBLE,693.354553,10,1052,0,6.48
BUBBLE,821.983337,10,967,0,6.56
BUBBLE,703.356140,10,1517,0,7.16
BUBBLE,754.884216,10,867,0,6.36
BUBBLE,732.886475,10,700,0,5.16
BUBBLE,706.096863,10,834,0,5.92
BUBBLE,640.207092,10,1201,0,5.91
BUBBLE,720.388123,10,1115,0,7.01
BUBBLE,693.092957,10,1168,0,6.97
BUBBLE,802.605957,10,933,0,6.62
BUBBLE,781.076904,10,965,0,4.96
BUBBLE,812.340942,10,831,0,6.92
BUBBLE,707.717773,10,1103,0,5.97
