CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,727.450500,50,599,0,3.93
AREA,705.469482,50,719,0,4.38
AREA,746.128845,50,717,0,2.04
AREA,891.102844,50,634,0,3.82
AREA,786.536316,50,518,0,3.52
AREA,786.779175,50,884,1,4.57
AREA,729.763000,50,835,1,3.99
AREA,798.433716,50,1034,0,3.75
AREA,760.474548,50,1151,1,3.16
AREA,650.685425,50,734,0,2.86
AREA,695.334351,50,1167,0,4.63
AREA,747.627014,50,783,0,3.80
AREA,760.908752,50,749,0,3.58
AREA,753.525574,50,968,0,4.26
AREA,818.713623,50,966,0,4.84
