CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
BUBBLE,750.355713,10,2016,1,6.92
BUBBLE,742.695313,10,969,0,6.12
BUBBLE,716.931152,10,967,0,6.14
BUBBLE,723.347473,10,1618,0,7.36
BUBBLE,681.937134,10,1550,0,7.36
BUBBLE,728.697815,10,1384,0,5.19
BUBBLE,739.799072,10,1099,0,6.14
BUBBLE,789.063843,10,1367,0,5.08
BUBBLE,771.435913,10,1266,0,6.39
BUBBLE,737.158630,10,681,0,4.94
BUBBLE,741.695068,10,970,0,6.72
BUBBLE,738.489502,10,1001,0,6.87
BUBBLE,754.811646,10,1236,0,6.26
BUBBLE,744.924988,10,887,0,4.20
BUBBLE,749.287292,10,750,0,6.70
