CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,752.662109,10,1067,0,6.41
STANDARD,784.463684,10,1235,0,6.49
STANDARD,747.201111,10,1500,0,6.49
STANDARD,760.444336,10,1052,0,3.22
STANDARD,691.309998,10,1700,1,6.88
STANDARD,717.364319,10,1200,0,4.94
STANDARD,679.372375,10,1818,0,6.74
STANDARD,713.246887,10,1646,0,6.66
STANDARD,723.899414,10,2416,0,6.66
STANDARD,757.147278,10,1903,0,6.16
STANDARD,720.005188,10,1933,0,6.70
STANDARD,823.059143,10,1976,0,7.21
STANDARD,731.922180,10,1469,0,6.34
STANDARD,694.214111,10,1100,0,6.59
STANDARD,802.774170,10,1551,0,6.83
