CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
BUBBLE,740.304871,10,901,0,6.04
BUBBLE,745.841370,10,1316,0,7.19
BUBBLE,742.349976,10,1168,0,6.82
BUBBLE,735.415039,10,984,0,6.14
BUBBLE,728.739197,10,701,0,3.72
BUBBLE,722.614319,10,950,0,6.06
BUBBLE,728.484680,10,586,0,3.80
BUBBLE,730.252747,10,632,0,4.73
BUBBLE,776.523071,10,631,0,5.57
BUBBLE,768.727661,10,1032,0,6.94
BUBBLE,750.779236,10,1037,0,7.27
BUBBLE,717.836243,10,591,0,5.16
BUBBLE,757.201172,10,722,0,5.91
BUBBLE,702.972656,10,735,0,5.43
BUBBLE,736.420471,10,717,0,5.42
