CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,764.637024,10,1600,1,6.59
STANDARD,742.043823,10,1436,1,6.30
STANDARD,723.925537,10,1484,0,6.60
STANDARD,739.929504,10,1852,1,6.18
STANDARD,768.680725,10,1154,0,7.04
STANDARD,774.735840,10,1353,0,5.71
STANDARD,752.367249,10,1034,0,6.56
STANDARD,790.690979,10,1019,0,6.42
STANDARD,762.404175,10,1301,0,5.39
STANDARD,779.215027,10,1551,0,6.09
STANDARD,715.684875,10,1285,1,5.71
STANDARD,712.865417,10,935,0,5.73
STANDARD,760.584229,10,1167,0,4.54
STANDARD,693.971252,10,2019,1,6.64
STANDARD,747.967407,10,1153,0,5.56
