CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,672.926025,50,750,1,3.36
STANDARD,564.508301,50,717,0,3.69
STANDARD,590.484009,50,500,0,2.33
STANDARD,732.791382,50,918,0,4.35
STANDARD,903.279114,50,1017,0,5.00
STANDARD,910.411926,50,1152,0,5.06
STANDARD,704.729370,50,1319,1,5.05
STANDARD,457.047363,50,1185,1,3.62
STANDARD,962.141785,50,820,0,4.38
STANDARD,776.479187,50,831,1,3.07
STANDARD,702.823792,50,668,0,3.82
STANDARD,954.689453,50,814,0,3.29
STANDARD,841.788391,50,1267,0,4.09
STANDARD,787.302551,50,799,0,3.42
STANDARD,445.547180,50,1033,0,3.97
