CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,751.372131,10,495,0,5.60
AREA,778.446899,10,985,1,5.52
AREA,681.697205,10,834,0,5.80
AREA,831.592041,10,785,0,6.61
AREA,699.052246,10,719,0,6.52
AREA,758.055603,10,1083,1,6.03
AREA,740.221863,10,751,0,5.61
AREA,761.681396,10,615,0,5.25
AREA,686.536865,10,1018,1,5.61
AREA,725.451416,10,1185,0,6.38
AREA,732.156006,10,1250,1,6.62
AREA,719.131897,10,1117,0,7.09
AREA,728.473450,10,1017,0,6.26
AREA,717.018738,10,966,0,5.84
AREA,739.015381,10,902,0,5.48
