CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,732.672791,10,814,0,6.56
AREA,788.459229,10,1065,0,6.39
AREA,774.994568,10,977,0,6.31
AREA,755.451294,10,1415,0,6.78
AREA,733.563416,10,1048,0,6.69
AREA,729.799988,10,1001,0,6.37
AREA,777.328430,10,967,0,6.65
AREA,768.442261,10,817,0,7.06
AREA,773.327148,10,549,0,5.79
AREA,733.899109,10,1098,1,5.96
AREA,734.123352,10,984,0,6.88
AREA,746.207092,10,650,0,5.60
AREA,706.552490,10,1198,1,5.76
AREA,711.480286,10,684,0,5.75
AREA,683.373230,10,636,0,4.79
