CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,768.854248,50,847,0,4.84
AREA,771.583313,50,735,0,3.39
AREA,769.054504,50,740,0,4.71
AREA,798.171936,50,1306,2,3.34
AREA,756.352051,50,972,0,5.09
AREA,757.027588,50,652,0,3.03
AREA,741.638916,50,649,0,2.35
AREA,741.742004,50,1022,0,4.04
AREA,755.365234,50,843,0,4.41
AREA,771.310608,50,821,0,3.45
AREA,751.101196,50,687,0,4.38
AREA,775.231567,50,407,0,2.51
AREA,764.583374,50,506,0,3.64
AREA,758.857361,50,1129,1,3.64
AREA,735.165405,50,633,0,2.72
