CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
BUBBLE,747.992310,50,595,0,4.65
BUBBLE,800.201721,50,503,0,3.13
BUBBLE,781.727600,50,936,1,4.16
BUBBLE,764.373474,50,719,1,4.29
BUBBLE,796.355774,50,452,0,2.92
BUBBLE,736.777466,50,538,0,2.81
BUBBLE,768.880249,50,940,1,4.00
BUBBLE,722.250488,50,876,1,4.19
BUBBLE,733.819702,50,960,1,4.03
BUBBLE,786.329956,50,720,0,4.53
BUBBLE,751.639404,50,1154,0,4.46
BUBBLE,738.624817,50,632,0,4.18
BUBBLE,743.156006,50,1019,0,4.62
BUBBLE,721.540344,50,954,1,4.73
BUBBLE,750.177795,50,603,0,2.68
