CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,740.976929,50,583,0,3.99
AREA,714.390808,50,718,0,4.13
AREA,737.895264,50,406,0,2.92
AREA,744.377380,50,668,0,4.58
AREA,779.951294,50,768,0,4.20
AREA,796.281067,50,999,1,3.95
AREA,793.017212,50,1000,1,4.92
AREA,754.683960,50,834,1,4.03
AREA,725.384766,50,468,0,2.80
AREA,758.914978,50,488,0,2.11
AREA,727.628540,50,827,1,3.00
AREA,778.149414,50,1049,1,4.24
AREA,785.682312,50,849,0,5.04
AREA,717.264404,50,751,0,4.11
AREA,733.301270,50,668,0,3.21
