CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,762.657104,30,1315,1,3.37
STANDARD,745.654236,30,1018,1,3.58
STANDARD,770.261230,30,1050,0,4.12
STANDARD,748.557861,30,834,0,4.89
STANDARD,771.296631,30,2370,2,4.76
STANDARD,768.539612,30,1268,0,4.54
STANDARD,755.455872,30,1353,0,4.26
STANDARD,773.208496,30,702,0,2.51
STANDARD,753.881897,30,984,0,3.51
STANDARD,764.176880,30,1068,1,3.03
STANDARD,735.073547,30,1117,1,4.60
STANDARD,734.248779,30,1419,0,5.69
STANDARD,785.795959,30,1001,0,3.34
STANDARD,776.140381,30,969,0,4.67
STANDARD,769.670776,30,786,0,4.97
