CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,728.433838,10,1298,0,6.47
STANDARD,701.255371,10,1098,0,5.16
STANDARD,761.420898,10,1351,1,6.24
STANDARD,718.669800,10,1531,1,5.64
STANDARD,744.550476,10,1117,0,6.79
STANDARD,707.938965,10,1016,0,5.17
STANDARD,777.830505,10,1417,0,5.38
STANDARD,765.230957,10,984,0,4.68
STANDARD,712.239014,10,934,0,6.28
STANDARD,693.927551,10,1766,1,6.36
STANDARD,765.333069,10,1134,0,6.11
STANDARD,766.442322,10,1002,0,3.91
STANDARD,750.321777,10,1285,0,5.61
STANDARD,755.660950,10,1183,0,6.60
STANDARD,749.901184,10,2100,2,5.24
