CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,860.381958,50,972,0,4.97
AREA,718.119812,50,766,0,4.03
AREA,779.761475,50,649,0,3.61
AREA,753.302063,50,933,0,4.67
AREA,890.547241,50,1001,0,4.87
AREA,615.972290,50,933,0,3.16
AREA,770.763733,50,1001,0,3.76
AREA,757.274231,50,518,0,2.13
AREA,506.992767,50,537,0,2.56
AREA,892.710083,50,751,0,3.51
AREA,664.818237,50,502,0,0.83
AREA,897.907410,50,930,1,4.01
AREA,754.782654,50,667,0,5.07
AREA,805.352539,50,1167,2,3.39
AREA,933.997742,50,818,0,3.24
