CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
BUBBLE,786.317505,10,1119,0,3.02
BUBBLE,759.241821,10,581,0,5.67
BUBBLE,803.355042,10,832,0,5.60
BUBBLE,719.576843,10,1186,1,5.63
BUBBLE,725.690369,10,634,0,5.66
BUBBLE,725.437500,10,751,1,5.46
BUBBLE,735.851807,10,751,0,5.85
BUBBLE,785.626160,10,702,0,5.67
BUBBLE,768.107300,10,1019,0,6.98
BUBBLE,736.320679,10,719,0,6.27
BUBBLE,738.385437,10,586,0,4.61
BUBBLE,794.703186,10,800,0,5.25
BUBBLE,772.844482,10,549,0,4.85
BUBBLE,798.866760,10,1116,0,6.51
BUBBLE,770.537903,10,1134,0,7.13
