CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,1058.489868,30,610,0,3.87
AREA,994.586060,30,564,0,4.79
AREA,1035.247681,30,699,0,5.67
AREA,968.049377,30,669,0,5.78
AREA,1013.148315,30,672,0,4.66
AREA,1064.561279,30,671,0,5.77
AREA,1032.144409,30,708,0,5.51
AREA,1003.251831,30,760,0,5.12
AREA,1048.862549,30,806,0,6.03
AREA,1026.329468,30,732,0,6.07
AREA,1044.254028,30,675,0,5.51
AREA,988.038086,30,638,0,5.05
AREA,1016.097107,30,725,0,6.12
AREA,1021.805908,30,624,0,4.08
AREA,1009.026184,30,538,0,3.44
