CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,1046.590576,50,504,0,3.34
AREA,914.978516,50,678,0,4.68
AREA,1092.759155,50,558,0,3.18
AREA,1226.543823,50,615,0,4.34
AREA,1077.835815,50,602,0,4.98
AREA,863.929077,50,687,0,5.05
AREA,1352.258423,50,639,0,3.82
AREA,592.661804,50,873,1,4.54
AREA,1053.032471,50,536,0,4.49
AREA,1147.957275,50,493,0,4.76
AREA,1191.110352,50,436,0,3.95
AREA,1074.038818,50,466,0,3.61
AREA,910.462036,50,647,0,4.72
AREA,810.140259,50,707,0,3.22
AREA,1004.076172,50,600,0,3.01
