CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,953.176086,10,809,0,5.66
AREA,999.878418,10,744,0,4.27
AREA,992.392029,10,676,0,6.24
AREA,1023.351929,10,702,0,6.24
AREA,1049.526855,10,670,0,7.01
AREA,1050.807739,10,868,0,6.07
AREA,931.159546,10,792,0,7.49
AREA,952.286804,10,844,0,7.85
AREA,988.832703,10,754,0,6.81
AREA,1012.536682,10,660,0,5.42
AREA,1025.878052,10,861,0,7.04
AREA,942.491333,10,2279,0,6.01
AREA,971.013977,10,696,0,5.78
AREA,1028.137817,10,716,0,5.04
AREA,1059.174194,10,1131,0,7.27
