CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
BUBBLE,995.427002,30,550,0,5.31
BUBBLE,1080.800781,30,535,0,5.76
BUBBLE,1032.265625,30,603,0,5.68
BUBBLE,1020.631714,30,499,0,3.02
BUBBLE,1104.920166,30,400,0,4.12
BUBBLE,1033.604980,30,418,0,5.40
BUBBLE,1094.915283,30,569,0,5.48
BUBBLE,1014.789368,30,399,0,5.09
BUBBLE,965.969971,30,423,0,4.00
BUBBLE,1045.317871,30,427,0,2.92
BUBBLE,1033.196899,30,452,0,4.45
BUBBLE,842.613342,30,467,0,5.49
BUBBLE,1100.273193,30,455,0,4.47
BUBBLE,1016.913818,30,424,0,5.59
BUBBLE,928.819946,30,537,0,4.74
