CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,978.147583,10,978,0,7.07
STANDARD,980.623169,10,1307,0,6.77
STANDARD,1007.369019,10,1123,0,7.59
STANDARD,1035.250244,10,967,0,6.82
STANDARD,944.982239,10,907,0,5.10
STANDARD,909.182861,10,859,0,6.30
STANDARD,980.175232,10,838,0,6.33
STANDARD,1028.749634,10,835,0,5.36
STANDARD,1053.666138,10,805,0,5.96
STANDARD,1028.799072,10,860,0,6.07
STANDARD,981.194092,10,2982,2,6.33
STANDARD,1007.190796,10,1113,0,6.92
STANDARD,976.168457,10,961,0,7.21
STANDARD,989.741455,10,1510,1,6.87
STANDARD,1036.844360,10,1920,0,6.95
