CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,1059.406616,30,899,0,5.31
AREA,1033.260254,30,848,0,5.75
AREA,860.102783,30,691,0,4.03
AREA,946.461548,30,616,0,4.90
AREA,975.954590,30,728,0,5.85
AREA,951.468079,30,1059,1,5.35
AREA,975.822754,30,713,0,5.23
AREA,1024.051636,30,585,0,5.40
AREA,1043.192383,30,824,0,5.50
AREA,1040.089966,30,703,0,4.82
AREA,1010.246765,30,755,0,3.19
AREA,1056.379883,30,925,0,5.00
AREA,949.471802,30,950,0,4.02
AREA,1045.621094,30,980,0,4.27
AREA,1018.594421,30,788,0,5.20
