CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,860.824158,30,1009,1,5.64
STANDARD,1062.990601,30,820,0,4.97
STANDARD,1095.000000,30,779,0,5.39
STANDARD,798.522156,30,907,0,6.02
STANDARD,937.852966,30,1080,0,5.80
STANDARD,1153.400269,30,685,0,4.79
STANDARD,921.083496,30,667,0,4.93
STANDARD,1099.328003,30,946,1,5.53
STANDARD,1013.950134,30,862,1,4.62
STANDARD,1095.122437,30,634,0,3.77
STANDARD,955.836060,30,839,0,5.23
STANDARD,1002.421631,30,752,0,5.18
STANDARD,1081.061768,30,1008,1,4.79
STANDARD,973.674377,30,682,0,4.40
STANDARD,1024.924683,30,929,0,4.96
