CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,1115.421387,30,655,0,5.30
AREA,1130.460327,30,856,0,6.22
AREA,1026.754150,30,680,0,5.04
AREA,932.590820,30,570,0,4.97
AREA,930.265076,30,550,0,4.86
AREA,1089.073608,30,687,0,5.16
AREA,1020.606262,30,656,0,5.25
AREA,1123.452637,30,655,0,5.27
AREA,962.602783,30,571,0,4.20
AREA,924.326721,30,655,0,5.88
AREA,1088.179199,30,601,0,3.48
AREA,928.398132,30,779,0,6.05
AREA,1049.646606,30,772,0,6.09
AREA,861.964111,30,738,0,5.90
AREA,1110.969604,30,768,0,5.89
