CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,767.219055,50,770,0,4.07
AREA,767.319153,50,761,0,4.04
AREA,775.292969,50,1075,0,3.44
AREA,774.248840,50,995,0,3.78
AREA,767.909668,50,985,0,3.92
AREA,773.808289,50,1124,0,3.17
AREA,759.068542,50,1164,0,4.31
AREA,757.991272,50,952,0,3.71
AREA,760.075256,50,788,0,4.00
AREA,761.310364,50,1135,0,3.99
AREA,791.032043,50,1012,0,3.81
AREA,782.026917,50,1037,0,4.08
AREA,772.048584,50,1145,0,4.96
AREA,767.716248,50,1118,0,4.44
AREA,772.150208,50,1344,0,4.60
