CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,768.948730,50,1130,0,3.16
STANDARD,753.872864,50,898,0,2.23
STANDARD,751.371338,50,1503,0,3.43
STANDARD,754.646301,50,1094,0,3.75
STANDARD,758.280396,50,1100,0,2.10
STANDARD,763.070190,50,846,0,2.70
STANDARD,776.418823,50,1029,0,3.34
STANDARD,764.989807,50,1356,0,4.20
STANDARD,794.844543,50,1410,0,4.64
STANDARD,790.146179,50,1124,0,4.79
STANDARD,765.953430,50,1296,0,3.85
STANDARD,771.964661,50,1412,0,2.95
STANDARD,765.080566,50,990,0,3.05
STANDARD,763.027710,50,1385,0,4.56
STANDARD,792.565674,50,1423,0,4.92
