CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,726.725586,50,975,0,3.05
AREA,730.329468,50,1088,0,3.95
AREA,763.478149,50,1577,0,3.92
AREA,785.990601,50,1009,0,3.46
AREA,741.602478,50,1059,0,3.57
AREA,757.787170,50,988,0,4.58
AREA,741.437561,50,937,0,4.00
AREA,752.028625,50,1040,0,4.09
AREA,759.712341,50,1225,0,3.63
AREA,719.339172,50,1121,0,4.02
AREA,719.234375,50,924,0,2.55
AREA,726.787415,50,1076,0,3.72
AREA,809.525696,50,990,0,4.16
AREA,762.404907,50,843,0,3.72
AREA,780.726440,50,890,0,4.33
