CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,680.234497,10,1254,0,5.92
STANDARD,838.646301,10,1787,0,6.95
STANDARD,676.888794,10,1037,0,6.05
STANDARD,744.507141,10,1299,0,6.60
STANDARD,718.894958,10,1213,0,5.94
STANDARD,852.541809,10,1044,0,4.91
STANDARD,758.091431,10,1297,0,4.84
STANDARD,724.811401,10,1850,1,5.67
STANDARD,762.703735,10,1517,0,6.51
STANDARD,757.989014,10,1755,1,6.70
STANDARD,775.886230,10,1042,0,5.54
STANDARD,781.850647,10,1347,0,6.79
STANDARD,721.544861,10,1241,0,5.93
STANDARD,730.262268,10,2258,2,5.48
STANDARD,775.429626,10,976,0,4.01
