CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,771.666016,30,1007,0,4.22
AREA,784.465759,30,1188,0,5.02
AREA,776.569214,30,774,0,4.28
AREA,797.726135,30,1104,0,5.57
AREA,753.726807,30,1010,0,3.55
AREA,718.969971,30,829,0,4.67
AREA,758.137085,30,826,0,3.68
AREA,734.258240,30,871,0,4.00
AREA,732.732544,30,725,0,1.65
AREA,805.189209,30,756,0,3.39
AREA,748.679871,30,1304,0,5.15
AREA,749.006836,30,1041,0,5.62
AREA,732.006897,30,1071,0,5.06
AREA,714.267273,30,972,0,2.35
AREA,750.108887,30,959,0,4.88
