CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,836.066711,30,937,0,5.21
AREA,859.003662,30,1218,0,4.11
AREA,816.614929,30,1003,0,3.75
AREA,744.902649,30,1308,0,4.33
AREA,780.950623,30,906,0,3.20
AREA,777.019348,30,1005,0,4.85
AREA,845.718872,30,1066,0,4.32
AREA,801.433411,30,968,0,4.66
AREA,696.522400,30,936,0,4.18
AREA,882.029663,30,937,0,4.95
AREA,844.183838,30,1085,0,4.51
AREA,779.408386,30,920,0,3.88
AREA,678.705872,30,606,0,3.39
AREA,723.871399,30,1006,0,4.53
AREA,791.114014,30,753,0,1.66
