CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
BUBBLE,724.776428,50,983,0,4.66
BUBBLE,742.214661,50,855,0,3.41
BUBBLE,712.322266,50,867,0,4.02
BUBBLE,762.619690,50,718,0,3.98
BUBBLE,678.485840,50,971,0,4.20
BUBBLE,837.859741,50,721,0,4.56
BUBBLE,731.826660,50,852,0,3.02
BUBBLE,747.674622,50,803,0,3.42
BUBBLE,874.738037,50,771,0,4.20
BUBBLE,695.555115,50,888,0,4.61
BUBBLE,759.565613,50,769,0,3.30
BUBBLE,716.974060,50,754,0,4.29
BUBBLE,776.791016,50,641,0,3.66
BUBBLE,825.515320,50,1135,0,5.20
BUBBLE,806.826721,50,1085,0,4.88
