CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
BUBBLE,738.385986,50,761,0,2.99
BUBBLE,735.823547,50,876,0,3.52
BUBBLE,742.235413,50,737,0,4.35
BUBBLE,771.477966,50,675,0,3.60
BUBBLE,689.945679,50,910,0,2.30
BUBBLE,762.728760,50,670,0,2.89
BUBBLE,765.537354,50,937,0,3.41
BUBBLE,787.923340,50,892,0,3.76
BUBBLE,783.064575,50,892,0,4.45
BUBBLE,741.697998,50,756,0,3.20
BUBBLE,742.270020,50,904,0,3.93
BUBBLE,755.781311,50,925,0,5.00
BUBBLE,774.332520,50,752,0,3.87
BUBBLE,806.844421,50,691,0,2.78
BUBBLE,736.827087,50,672,0,3.16
