CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,771.585632,30,854,0,4.09
AREA,686.401917,30,685,0,4.15
AREA,768.693726,30,516,0,3.77
AREA,722.061462,30,821,0,4.10
AREA,605.300537,30,769,0,4.72
AREA,735.904480,30,637,0,4.00
AREA,722.637024,30,1537,1,5.24
AREA,898.588928,30,1023,0,4.84
AREA,686.997498,30,885,0,5.33
AREA,648.446411,30,1104,0,4.59
AREA,757.622498,30,672,0,2.62
AREA,684.607605,30,856,0,3.48
AREA,790.972229,30,1054,0,4.34
AREA,745.458862,30,709,0,3.49
AREA,760.368469,30,867,0,4.54
