CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,831.455750,10,730,0,5.27
AREA,656.242920,10,904,0,6.00
AREA,881.922852,10,1132,0,6.75
AREA,708.361511,10,1049,0,6.99
AREA,443.748779,10,750,0,6.81
AREA,516.021851,10,781,0,6.57
AREA,753.424744,10,776,0,6.12
AREA,696.372681,10,896,0,5.62
AREA,814.033264,10,964,0,7.33
AREA,693.562134,10,891,0,6.66
AREA,470.016754,10,1256,0,5.90
AREA,685.834656,10,493,0,3.32
AREA,644.850220,10,849,0,6.67
AREA,625.875854,10,803,0,6.16
AREA,764.671265,10,756,0,6.02
