CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,848.123657,30,887,0,2.98
AREA,663.316284,30,841,0,4.63
AREA,872.859741,30,965,0,5.14
AREA,734.910400,30,758,0,4.91
AREA,769.587158,30,803,0,4.38
AREA,855.235718,30,700,0,4.09
AREA,844.800293,30,683,0,3.78
AREA,381.299133,30,721,0,4.70
AREA,756.663086,30,877,0,4.65
AREA,473.220947,30,906,0,5.05
AREA,930.148438,30,869,0,5.34
AREA,955.910461,30,1283,1,3.42
AREA,797.275940,30,948,0,5.28
AREA,445.932800,30,868,0,4.15
AREA,715.765320,30,772,0,4.84
